wos_accession_number,doi,publication_year
WOS:000301018700017,10.1016/j.watres.2011.06.029,2012
WOS:000312156900007,10.1002/clen.201200040,2012
WOS:000311085200001,10.1186/1471-2458-12-556,2012
WOS:000312183200012,10.1016/j.jglr.2012.04.001,2012
WOS:000304713300004,10.1007/s11783-011-0319-1,2012
WOS:000310763600043,10.1016/j.jhazmat.2012.09.006,2012
WOS:000319610300019,10.1590/S0006-87052012000300019,2012
WOS:000309095800044,10.1016/j.watres.2012.07.012,2012
WOS:000303546900010,10.1007/s11356-011-0613-2,2012
WOS:000308697200002,10.2166/aqua.2012.006,2012
WOS:000311130100014,10.1016/j.watres.2012.08.018,2012
WOS:000301331600003,10.1080/01919512.2012.640223,2012
WOS:000303843000003,10.1016/j.chroma.2012.03.020,2012
WOS:000301792900006,10.1007/s10532-011-9504-y,2012
WOS:000312156900006,10.1002/clen.201100579,2012
WOS:000299521200009,10.1007/s11783-010-0257-3,2012
WOS:000312050400022,,2012
WOS:000306543300015,10.1007/s12011-012-9386-9,2012
WOS:000310069500014,10.1107/S0907444912038486,2012
WOS:000311181700001,10.1016/j.desal.2012.08.028,2012
WOS:000307701100016,10.1007/s00431-012-1723-7,2012
WOS:000306080200004,10.1089/ees.2011.0007,2012
WOS:000312694300066,10.1371/journal.pone.0051976,2012
WOS:000305802200003,10.2166/aqua.2012.096,2012
WOS:000326212500019,10.1016/j.watres.2013.06.040,2013
WOS:000321314000086,10.1016/j.foodchem.2013.02.093,2013
WOS:000316118500015,10.1039/c3ay26626e,2013
WOS:000314809700004,10.2166/aqua.2013.016,2013
WOS:000312835300009,10.1007/s10661-012-2536-x,2013
WOS:000323356700009,10.1016/S1001-0742(12)60231-9,2013
WOS:000322157700057,10.1080/19443994.2013.768437,2013
WOS:000330159200004,,2013
WOS:000319234500007,10.1016/j.chemosphere.2012.12.024,2013
WOS:000328006200002,10.1016/S1001-0742(12)60317-9,2013
WOS:000313795500066,10.1080/19443994.2012.714648,2013
WOS:000317048600003,10.2166/aqua.2013.087,2013
WOS:000318051900024,10.1016/j.watres.2013.02.046,2013
WOS:000334262300010,,2013
WOS:000316841000005,10.1177/0960327112456316,2013
WOS:000319234500005,10.1016/j.chemosphere.2012.12.014,2013
WOS:000314426200002,10.1039/c2ra22243d,2013
WOS:000316611900006,10.1080/08927014.2013.772140,2013
WOS:000319088600064,10.1016/j.talanta.2013.01.026,2013
WOS:000318453800005,10.1016/S1001-0742(12)60012-6,2013
WOS:000320343700042,10.1016/j.scitotenv.2013.03.092,2013
WOS:000324604000010,10.1016/j.seppur.2013.04.029,2013
WOS:000326035000007,10.2166/aqua.2013.055,2013
WOS:000309436700008,,2013
WOS:000324566400033,10.1016/j.watres.2013.05.057,2013
WOS:000317425200013,10.1007/s12665-012-1964-9,2013
WOS:000317159300062,10.1016/j.cej.2013.01.035,2013
WOS:000317325700001,10.1016/j.chemosphere.2013.01.003,2013
WOS:000323356700005,10.1016/S1001-0742(12)60232-0,2013
WOS:000326994200018,10.1016/S1001-0742(12)60290-3,2013
WOS:000334313800007,10.2166/ws.2013.132,2013
WOS:000321908600024,10.1007/s11356-013-1527-y,2013
WOS:000328176000135,10.1016/j.talanta.2013.07.055,2013
WOS:000323836100008,10.1007/s10661-013-3153-z,2013
WOS:000321723100012,,2013
WOS:000323200400015,10.1111/1574-6941.12145,2013
WOS:000323402700007,,2013
WOS:000320567500037,,2013
WOS:000320497500021,10.1016/j.watres.2013.04.038,2013
WOS:000324166400022,10.3724/SP.J.1096.2013.20882,2013
WOS:000323440300001,10.1155/2013/340658,2013
WOS:000329377700048,10.1016/j.foodres.2013.07.017,2013
WOS:000314085900015,10.2105/AJPH.2012.300910,2013
WOS:000328005300051,10.1166/sl.2013.2868,2013
WOS:000313359000031,10.1007/s10661-012-2642-9,2013
WOS:000320274000001,10.1111/1541-4337.12015,2013
WOS:000336734600002,10.2166/aqua.2013.123,2014
WOS:000333781300017,10.1016/j.watres.2014.01.028,2014
WOS:000340665800004,10.1111/1750-3841.12511,2014
WOS:000330601400037,10.1016/j.watres.2013.10.028,2014
WOS:000330161000038,10.1016/j.ecoenv.2013.10.022,2014
WOS:000330106200035,10.1080/19443994.2013.785366,2014
WOS:000336872400024,10.1016/j.foodchem.2014.04.013,2014
WOS:000335582800012,10.1007/s11783-013-0577-1,2014
WOS:000332396200015,10.1371/journal.pone.0088059,2014
WOS:000345133400003,10.1080/03067319.2014.974586,2014
WOS:000338433200003,10.3724/SP.J.1096.2014.30875,2014
WOS:000328804200035,10.1016/j.cej.2013.09.041,2014
WOS:000340580700007,10.1086/677176,2014
WOS:000334511300006,10.1007/s00706-013-1148-7,2014
WOS:000341817100001,10.1080/10643389.2013.829972,2014
WOS:000342338500002,10.1002/clen.201200716,2014
WOS:000333048200022,10.1093/cercor/bhs394,2014
WOS:000339874900012,10.1007/s10098-014-0715-x,2014
WOS:000346128700023,10.2166/wh.2014.109,2014
WOS:000346394900003,10.1016/j.watres.2014.08.051,2014
WOS:000337263200012,10.5942/jawwa.2014.106.0091,2014
WOS:000431371900012,10.1016/j.jwpe.2014.09.006,2014
WOS:000341864600005,10.2166/aqua.2014.144,2014
WOS:000344134600004,10.1016/j.yhbeh.2014.08.013,2014
WOS:000348791100012,10.2166/ws.2014.057,2014
WOS:000333998000006,10.1080/19443994.2013.797669,2014
WOS:000337261500021,10.1016/j.watres.2014.03.070,2014
WOS:000336339800034,10.1016/j.cej.2014.03.018,2014
WOS:000346955100039,10.1016/j.neuro.2014.05.006,2014
WOS:000345255000001,10.1016/j.alcohol.2014.07.015,2014
WOS:000346394900013,10.1016/j.watres.2014.09.002,2014
WOS:000342958200014,10.5942/jawwa.2014.106.0129,2014
WOS:000345469100014,10.1016/j.hal.2014.07.005,2014
WOS:000344019400018,10.2166/ws.2014.017,2014
WOS:000339989500050,10.3390/ijerph110707376,2014
WOS:000338992400001,10.2166/aqua.2013.069,2014
WOS:000334134700049,10.1016/j.cej.2014.01.081,2014
WOS:000339036500003,10.1016/j.jes.2014.05.003,2014
WOS:000336637300020,10.1016/j.jglr.2014.03.016,2014
WOS:000330452600001,10.1155/2014/697260,2014
WOS:000335778700011,10.1007/s10337-014-2676-y,2014
WOS:000344823500007,10.1016/j.watres.2014.08.007,2014
WOS:000341653300009,10.1080/19443994.2013.808591,2014
WOS:000332808600025,10.1016/j.watres.2013.11.001,2014
WOS:000348592800005,10.2166/wh.2014.223,2014
WOS:000337861400024,10.1016/j.watres.2014.04.023,2014
WOS:000331021200038,10.1016/j.jhazmat.2013.10.059,2014
WOS:000328229200041,10.1007/s10661-013-3393-y,2014
WOS:000333447000008,10.1016/S1001-0742(13)60409-X,2014
WOS:000335096400043,10.1016/j.scitotenv.2014.02.069,2014
WOS:000337775500001,10.1016/j.jphotochem.2014.04.013,2014
WOS:000345368400001,10.1155/2014/743924,2014
WOS:000341745100006,10.1016/j.envint.2014.05.025,2014
WOS:000344018200008,10.2166/ws.2013.214,2014
WOS:000374315100008,10.2166/aqua.2014.171,2015
WOS:000350051400004,10.1080/10934529.2015.987526,2015
WOS:000374315100010,10.2166/aqua.2014.069,2015
WOS:000358642400008,10.1186/s12889-015-1974-0,2015
WOS:000353735800023,10.1016/j.watres.2015.01.032,2015
WOS:000374408100004,10.2166/wh.2015.012,2015
WOS:000362413200004,10.1515/eces-2015-0012,2015
WOS:000374408100003,10.2166/wh.2015.243,2015
WOS:000363348900093,10.1016/j.scitotenv.2015.08.092,2015
WOS:000377971200002,10.1080/19443994.2014.992180,2015
WOS:000353748600002,,2015
WOS:000363355700011,10.1016/j.watres.2015.08.017,2015
WOS:000353860800016,10.1016/j.pbb.2015.03.004,2015
WOS:000347756900040,10.1016/j.watres.2014.09.038,2015
WOS:000347981800009,10.1111/gwat.12272,2015
WOS:000351102400008,10.1007/s11270-014-2290-5,2015
WOS:000359360400029,10.1039/c5ay01138h,2015
WOS:000349530300008,10.1080/19443994.2014.931532,2015
WOS:000374315100005,10.2166/aqua.2015.067,2015
WOS:000352048100051,10.1016/j.psep.2014.11.005,2015
WOS:000351966900014,10.1016/j.watres.2014.12.044,2015
WOS:000365096700008,10.1007/s10311-015-0519-1,2015
WOS:000374302500026,10.2166/ws.2015.102,2015
WOS:000347756900005,10.1016/j.watres.2014.09.037,2015
WOS:000345124100005,10.1016/j.cattod.2014.03.027,2015
WOS:000354672700001,10.1155/2015/479103,2015
WOS:000352068100010,10.2166/ws.2014.088,2015
WOS:000385549700001,10.3109/10408444.2015.1076376,2015
WOS:000374315100006,10.2166/aqua.2015.100,2015
WOS:000352305700009,10.1080/19443994.2014.917990,2015
WOS:000348332400004,10.1021/es504403t,2015
WOS:000352652700007,,2015
WOS:000374315100003,10.2166/aqua.2014.097,2015
WOS:000362695700015,10.5942/jawwa.2015.107.0142,2015
WOS:000353411200003,10.1080/19443994.2014.934104,2015
WOS:000367477500010,10.1515/aep-2015-0043,2015
WOS:000364226900010,10.1007/s00442-015-3423-2,2015
WOS:000351391800032,10.1039/c4ay03026e,2015
WOS:000348332400016,10.1021/es5040969,2015
WOS:000360793100005,10.2166/wh.2015.171,2015
WOS:000357235400032,10.1016/j.chemosphere.2015.05.049,2015
WOS:000363348900030,10.1016/j.scitotenv.2015.08.050,2015
WOS:000361415800028,10.1021/acs.est.5b00979,2015
WOS:000374519000006,,2015
WOS:000360418000018,10.1016/j.watres.2015.06.038,2015
WOS:000349060300012,10.1021/es5049418,2015
WOS:000352577000007,10.1111/jam.12747,2015
WOS:000362832300004,10.1080/19443994.2014.950998,2015
WOS:000356240400004,10.12989/mwt.2015.6.3.225,2015
WOS:000349195100055,10.1016/j.scitotenv.2014.11.069,2015
WOS:000357949200002,10.2166/ws.2015.011,2015
WOS:000360308500003,10.2166/washdev.2015.172,2015
WOS:000347756900077,10.1016/j.watres.2014.10.051,2015
WOS:000358329700005,10.1007/s12040-015-0583-8,2015
WOS:000349503600020,10.1016/j.watres.2014.11.022,2015
WOS:000366235700009,10.1016/j.envpol.2015.06.027,2015
WOS:000357244600020,,2015
WOS:000385596000028,10.1016/j.envpol.2016.06.069,2016
WOS:000373609300021,10.1007/s11356-015-5766-y,2016
WOS:000378680300016,10.1002/jssc.201600098,2016
WOS:000391267300014,10.4314/wsa.v42i4.14,2016
WOS:000431460204626,,2016
WOS:000386382000006,10.4314/wsa.v42i3.06,2016
WOS:000385902000001,10.1016/j.watres.2016.08.052,2016
WOS:000382321800016,10.2166/ws.2016.017,2016
WOS:000376805500027,10.1016/j.watres.2016.04.023,2016
WOS:000386381000011,10.4314/wsa.v42i2.11,2016
WOS:000372685600004,10.1016/j.njas.2015.11.002,2016
WOS:000372290300016,10.1515/reveh-2016-0008,2016
WOS:000372659500015,10.1039/c5ew00269a,2016
WOS:000370993200023,10.1016/j.jclepro.2015.12.047,2016
WOS:000373278700004,10.1016/j.scitotenv.2016.03.003,2016
WOS:000382539600050,10.1039/c6ra16733k,2016
WOS:000371555200017,10.1016/j.watres.2016.01.016,2016
WOS:000373609300040,10.1007/s11356-015-5749-z,2016
WOS:000385018200011,10.4014/jmb.1603.03043,2016
WOS:000386413600066,10.1016/j.envres.2016.08.034,2016
WOS:000366662900041,10.1080/19443994.2014.970583,2016
WOS:000384244700008,10.1061/(ASCE)EE.1943-7870.0001116,2016
WOS:000387307700001,10.1186/s12866-016-0890-5,2016
WOS:000375063400079,10.1007/s12665-016-5530-8,2016
WOS:000382805800008,10.1021/acs.est.6b00835,2016
WOS:000371555200026,10.1016/j.watres.2016.01.058,2016
WOS:000368867700001,10.1016/j.psyneuen.2015.10.020,2016
WOS:000380137800009,10.1007/s12517-016-2552-1,2016
WOS:000372553000025,10.1007/s10499-015-9929-0,2016
WOS:000391267300011,10.4314/wsa.v42i4.11,2016
WOS:000367774400308,10.1016/j.chemosphere.2015.11.022,2016
WOS:000374305100015,10.2166/ws.2015.148,2016
WOS:000381500700034,10.1128/AEM.01334-16,2016
WOS:000367866300008,10.1021/acs.est.5b03409,2016
WOS:000371937900050,10.1016/j.jtice.2015.11.007,2016
WOS:000378448800021,10.1016/j.watres.2016.05.021,2016
WOS:000366327100003,10.1080/09593330.2015.1069405,2016
WOS:000371702300006,10.1080/19443994.2015.1061457,2016
WOS:000371991000042,10.1080/19443994.2015.1059370,2016
WOS:000383771300006,10.2166/aqua.2016.001,2016
WOS:000387092100007,10.1080/19443994.2016.1177274,2016
WOS:000378448600071,10.1016/j.envpol.2016.04.056,2016
WOS:000384776800042,10.1016/j.chemosphere.2016.08.051,2016
WOS:000375333100007,10.2166/wh.2015.134,2016
WOS:000367276500082,10.1016/j.watres.2015.11.001,2016
WOS:000369018200001,10.3389/fmicb.2016.00045,2016
WOS:000381950400020,10.1016/j.watres.2016.06.029,2016
WOS:000374917300008,,2016
WOS:000368103200018,10.1007/s00253-015-6969-3,2016
WOS:000366662900018,10.1080/19443994.2014.986823,2016
WOS:000371396700013,,2016
WOS:000364247100061,10.1016/j.cej.2015.08.016,2016
WOS:000373353000016,10.1080/19443994.2015.1083890,2016
WOS:000368107100008,10.1007/s11771-016-3049-5,2016
WOS:000378448800001,10.1016/j.watres.2016.05.017,2016
WOS:000377732700045,10.1016/j.chemosphere.2016.05.010,2016
WOS:000405002800013,,2016
WOS:000369728600004,10.12783/issn.1544-8053/13/1/4,2016
WOS:000378206300122,10.1016/j.scitotenv.2016.05.173,2016
WOS:000374351500007,10.1111/idh.12149,2016
WOS:000383611500002,10.1002/clen.201500749,2016
WOS:000388015400024,10.1080/19443994.2016.1193063,2016
WOS:000370092000007,10.1016/j.watres.2015.12.006,2016
WOS:000369959100008,10.1002/clen.201500077,2016
WOS:000377319600009,10.1016/j.hal.2015.11.008,2016
WOS:000394723200035,10.1016/j.cej.2016.12.086,2017
WOS:000413377000035,10.1016/j.watres.2017.08.063,2017
WOS:000414707500052,10.3390/w9100775,2017
WOS:000402343700002,10.1016/j.chemosphere.2017.04.039,2017
WOS:000394351400001,10.1007/s11270-016-3229-9,2017
WOS:000394102600011,10.1038/mp.2016.68,2017
WOS:000404474300004,10.2166/aqua.2017.090,2017
WOS:000415735900002,10.1080/01919512.2017.1352413,2017
WOS:000407305300037,,2017
WOS:000412457300015,10.1007/s00477-017-1440-x,2017
WOS:000418320500003,10.1037/pha0000162,2017
WOS:000408184700023,10.1016/j.envres.2017.06.018,2017
WOS:000406436100009,10.1016/j.ecolind.2017.04.046,2017
WOS:000390515800002,10.1016/j.cattod.2016.09.024,2017
WOS:000400723200015,10.1021/acs.est.6b04440,2017
WOS:000414453600012,10.3390/app7090876,2017
WOS:000396042900005,10.1080/10402381.2016.1263694,2017
WOS:000401277300001,10.1038/ncomms15230,2017
WOS:000403991600028,10.1016/j.envpol.2017.04.058,2017
WOS:000397688200032,10.1016/j.seppur.2017.01.059,2017
WOS:000407655300107,10.1016/j.renene.2017.06.092,2017
WOS:000431411100037,10.1016/j.jwpe.2017.08.015,2017
WOS:000422945900001,10.5942/jawwa.2017.109.0122,2017
WOS:000400051700004,10.5942/jawwa.2017.109.0010,2017
WOS:000419141300013,10.30638/eemj.2017.238,2017
WOS:000416186400003,10.1016/j.hal.2017.09.006,2017
WOS:000403991700027,10.1016/j.chemosphere.2017.04.138,2017
WOS:000389090100138,10.1016/j.scitotenv.2016.08.134,2017
WOS:000396138800066,10.1007/s11356-016-7966-5,2017
WOS:000396502100010,10.4314/wsa.v43i1.10,2017
WOS:000393888900003,10.1080/10408347.2016.1225255,2017
WOS:000397453100011,10.1177/0033354916689606,2017
WOS:000406310400030,10.1007/s11270-017-3474-6,2017
WOS:000394254000094,10.1007/s11356-016-8032-z,2017
WOS:000416524200006,10.17159/sajs.2017/a0244,2017
WOS:000413736100003,10.1590/S1413-41522017148174,2017
WOS:000395956700001,10.1016/j.chroma.2017.01.015,2017
WOS:000398637400001,10.1186/s40494-016-0114-1,2017
WOS:000408715200001,10.3389/fpubh.2017.00213,2017
WOS:000411118300061,10.1016/j.cej.2017.07.055,2017
WOS:000395218900017,10.1016/j.watres.2016.12.043,2017
WOS:000398000000018,10.2166/ws.2016.159,2017
WOS:000399705800004,10.1007/s00253-017-8223-7,2017
WOS:000394617200006,10.1080/1040841X.2016.1198306,2017
WOS:000422945900008,10.5942/jawwa.2017.109.0118,2017
WOS:000390181600038,10.1016/j.watres.2016.11.014,2017
WOS:000406564400033,10.1016/j.jenvman.2017.05.088,2017
WOS:000402531100008,10.1590/1678-457X.16616,2017
WOS:000393861000002,10.1038/srep41928,2017
WOS:000400052300007,,2017
WOS:000430569100472,,2017
WOS:000437264700082,10.1007/s11356-018-2086-z,2018
WOS:000451417400001,10.1186/s12302-018-0175-8,2018
WOS:000452940800016,10.1016/j.solener.2018.07.033,2018
WOS:000447275300001,10.1016/j.jes.2017.12.008,2018
WOS:000434005600013,10.1016/j.foodres.2018.03.024,2018
WOS:000434747700032,10.1016/j.watres.2018.04.023,2018
WOS:000424765000021,10.2166/wst.2017.569,2018
WOS:000426721400109,10.3390/ijerph15020284,2018
WOS:000445137100022,10.2166/ws.2017.234,2018
WOS:000424725900002,10.1016/j.watres.2017.12.013,2018
WOS:000456527000024,10.3390/ijerph15122633,2018
WOS:000437819500014,10.1016/j.desal.2018.04.017,2018
WOS:000449137700004,10.1016/j.watres.2018.08.014,2018
WOS:000450165300011,10.1007/s00343-018-7124-7,2018
WOS:000447609100231,,2018
WOS:000427804800032,10.1007/s10811-017-1233-0,2018
WOS:000435197300183,10.3390/ijerph15051015,2018
WOS:000439043700006,10.1002/awwa.1042,2018
WOS:000445137100003,10.2166/ws.2018.001,2018
WOS:000452202800028,10.5004/dwt.2018.22926,2018
WOS:000445760200091,10.3390/app8091502,2018
WOS:000428832700006,10.2486/indhealth.2017-0041,2018
WOS:000454568900017,,2018
WOS:000431011900001,10.1080/22423982.2018.1466605,2018
WOS:000445125900036,10.5004/dwt.2018.22341,2018
WOS:000437299700001,10.1186/s12940-018-0402-1,2018
WOS:000419585200008,10.1093/toxsci/kfx202,2018
WOS:000425008900076,10.1007/s11356-017-0816-2,2018
WOS:000446149600042,10.1016/j.chemosphere.2018.07.149,2018
WOS:000431535600003,10.17221/297/2017-CJFS,2018
WOS:000436806200069,10.1016/j.scitotenv.2018.05.188,2018
WOS:000451208400111,10.3390/w10101396,2018
WOS:000447247500023,10.1016/j.envres.2018.07.010,2018
WOS:000451576800001,10.1002/awwa.1147,2018
WOS:000436401800008,10.1007/s00217-018-3054-z,2018
WOS:000427344600039,,2018
WOS:000429397700004,10.1016/j.watres.2018.02.041,2018
WOS:000439024100010,10.24193/subbchem.2018.1.10,2018
WOS:000436930700015,10.1111/acer.13768,2018
WOS:000447484000077,10.1016/j.ecoenv.2018.08.108,2018
WOS:000447478100031,10.1016/j.chemosphere.2018.08.015,2018
WOS:000424121200076,10.3390/ijerph15010076,2018
WOS:000438495400015,10.1002/brb3.1024,2018
WOS:000439403000026,10.1016/j.watres.2018.05.009,2018
WOS:000437325700003,10.2166/aqua.2018.165,2018
WOS:000448798400002,10.1127/fal/2018/1169,2018
WOS:000446149600127,10.1016/j.chemosphere.2018.08.029,2018
WOS:000424176200002,10.1016/j.mimet.2017.10.013,2018
WOS:000437352400030,10.2166/ws.2017.213,2018
WOS:000438615300002,10.1177/0306312718778358,2018
WOS:000433219500018,10.1016/j.biortech.2018.04.046,2018
WOS:000451309400003,10.3390/foods7110177,2018
WOS:000446424500005,10.1007/s00769-018-1338-4,2018
WOS:000433153600024,10.1016/j.scitotenv.2018.03.352,2018
WOS:000445523400012,10.2166/wst.2018.245,2018
WOS:000485672500006,,2018
WOS:000443230700005,10.1002/awwa.1090,2018
WOS:000449184900023,10.1039/c8ew00407b,2018
WOS:000448462700024,10.3390/w10080990,2018
WOS:000452585200041,10.1016/j.watres.2018.10.023,2018
WOS:000440467600001,10.1155/2018/2408632,2018
WOS:000452565400002,10.1016/j.watres.2018.08.072,2018
WOS:000454470700001,10.1016/j.mcn.2018.09.002,2018
WOS:000439403000015,10.1016/j.watres.2018.05.001,2018
WOS:000424096500026,10.3390/toxins10010026,2018
WOS:000441527900032,10.1016/j.cej.2018.07.123,2018
WOS:000444918000013,10.1016/j.aca.2018.07.051,2018
WOS:000446334800014,10.2166/wh.2018.129,2018
WOS:000414686500082,10.1016/j.snb.2017.09.136,2018
WOS:000430481200007,10.2166/wh.2018.272,2018
WOS:000445443800005,10.1016/j.alcohol.2018.02.004,2018
WOS:000462955700012,10.1016/j.psep.2018.10.025,2019
WOS:000479023000029,10.1016/j.watres.2019.06.005,2019
WOS:000461676600058,10.1016/j.scitotenv.2019.02.423,2019
WOS:000458221200043,10.1016/j.watres.2018.11.034,2019
WOS:000463816800004,10.1080/10739149.2018.1527774,2019
WOS:000463025900022,10.5004/dwt.2019.23894,2019
WOS:000468619200001,10.1016/j.scitotenv.2019.04.329,2019
WOS:000454880400020,10.1016/j.trac.2018.10.032,2019
WOS:000482126900038,10.3382/ps/pez094,2019
WOS:000485779200001,10.1016/j.aca.2019.07.061,2019
WOS:000472812000030,10.1016/j.jenvman.2019.04.123,2019
WOS:000458626800115,10.1016/j.scitotenv.2018.11.062,2019
WOS:000459527800036,10.1016/j.jenvman.2019.01.080,2019
WOS:000466493900013,10.2166/ws.2018.161,2019
WOS:000457420200010,10.1165/rcmb.2018-0099OC,2019
WOS:000457659000010,10.1016/j.rvsc.2018.11.014,2019
WOS:000475411500060,10.1016/j.ecoenv.2019.06.046,2019
WOS:000461548300012,10.1039/c8ew00600h,2019
WOS:000482436200008,10.1039/c9ew00303g,2019
WOS:000488654900029,10.1016/j.physbeh.2019.05.015,2019
WOS:000490189500008,10.1061/(ASCE)WR.1943-5452.0001126,2019
WOS:000466090500017,10.1016/j.scitotenv.2019.03.370,2019
WOS:000456223500016,10.1016/j.chemosphere.2018.10.028,2019
WOS:000487565000045,10.1016/j.watres.2019.115025,2019
WOS:000471081300033,10.1016/j.envpol.2019.03.041,2019
WOS:000464948100019,10.1007/s00216-019-01711-7,2019
WOS:000465366100002,10.1016/j.jenvman.2019.03.032,2019
WOS:000457293700134,10.1016/j.scitotenv.2018.12.337,2019
WOS:000466618400038,10.1016/j.watres.2019.03.026,2019
WOS:000475662600001,10.1186/s12302-019-0229-6,2019
WOS:000447004100005,10.1016/j.cej.2018.08.180,2019
WOS:000489840100020,10.1016/j.psep.2019.08.005,2019
WOS:000457727800060,10.1039/c8ra08645a,2019
WOS:000481444700014,10.1029/2018WR023651,2019
WOS:000460710700059,10.1016/j.chemosphere.2019.01.072,2019
WOS:000468977800027,10.1007/s11356-019-04635-y,2019
WOS:000471087800003,10.1016/j.hal.2019.01.010,2019
WOS:000491632600009,10.1016/j.hal.2019.101658,2019
WOS:000463025900012,10.5004/dwt.2019.23840,2019
WOS:000491634500023,10.1016/j.chemosphere.2019.07.071,2019
WOS:000477798800011,10.4038/jnsfsr.v47i2.9167,2019
WOS:000472132900035,10.3390/ijerph16111907,2019
WOS:000480659300045,10.3390/ijerph16142492,2019
WOS:000467818200022,10.20964/2019.05.29,2019
WOS:000487565000037,10.1016/j.watres.2019.114996,2019
WOS:000468253500050,10.1016/j.watres.2019.04.004,2019
WOS:000475999400036,10.1016/j.watres.2019.06.001,2019
WOS:000446076500146,10.1016/j.scitotenv.2018.08.307,2019
WOS:000485843500057,,2019
WOS:000504472800012,10.1016/j.jwpe.2019.100895,2019
WOS:000491634500099,10.1016/j.chemosphere.2019.124342,2019
WOS:000458941900017,10.1016/j.seppur.2019.01.007,2019
WOS:000492992100020,10.1039/c9ew00538b,2019
WOS:000461676600070,10.1016/j.scitotenv.2019.02.271,2019
WOS:000459111400067,10.3390/ijerph16010067,2019
WOS:000478663100043,10.1016/j.heliyon.2019.e02121,2019
WOS:000468253500030,10.1016/j.watres.2019.03.084,2019
WOS:000472696600005,10.1016/j.foodqual.2019.05.008,2019
WOS:000481520800006,10.1002/wat2.1373,2019
WOS:000484645800046,10.1016/j.watres.2019.114938,2019
WOS:000462923600017,10.2166/ws.2018.128,2019
WOS:000482246700073,10.1016/j.jenvman.2019.06.020,2019
WOS:000465212100013,10.1016/j.aca.2019.03.041,2019
WOS:000468253500007,10.1016/j.watres.2019.03.082,2019
WOS:000466416100003,10.1002/pts.2430,2019
WOS:000475346300009,10.3390/w11061121,2019
WOS:000474679800016,,2019
WOS:000479023000018,10.1016/j.watres.2019.06.066,2019
WOS:000463378300011,10.1016/j.jes.2018.11.008,2019
WOS:000582219300082,10.1016/j.ecoenv.2020.111343,2020
WOS:000534377000052,10.1016/j.chemosphere.2020.126509,2020
WOS:000554933300001,10.3390/w12061576,2020
WOS:000593242900006,10.1093/chemse/bjaa056,2020
WOS:000532829200063,10.1016/j.jhazmat.2020.122404,2020
WOS:000509611300086,10.1016/j.watres.2019.115353,2020
WOS:000565810800009,10.5004/dwt.2020.26048,2020
WOS:000537396600001,10.1016/j.cej.2020.125015,2020
WOS:000601166900024,10.2166/wst.2020.513,2020
WOS:000617137800023,10.2166/ws.2020.102,2020
WOS:000600769200002,10.3103/S1063455X20050045,2020
WOS:000569155800008,10.1016/j.watres.2020.115971,2020
WOS:000547817400017,10.1590/fst.05119,2020
WOS:000529342300123,10.3390/ijerph17061933,2020
WOS:000611998700011,10.1134/S1995082920060140,2020
WOS:000572324500002,10.1007/s00253-020-10884-6,2020
WOS:000521704300010,10.1007/s11356-020-08267-5,2020
WOS:000542174500010,10.1016/j.jwpe.2020.101381,2020
WOS:000517663600039,10.1016/j.watres.2020.115507,2020
WOS:000617138500029,10.2166/ws.2020.145,2020
WOS:000544985400033,10.5004/dwt.2020.25014,2020
WOS:000543713600003,10.1016/j.cej.2019.123243,2020
WOS:000571004500017,10.1016/j.watres.2020.116065,2020
WOS:000617138500018,10.2166/ws.2020.119,2020
WOS:000539527500005,10.3390/w12040928,2020
WOS:000523571900035,10.1016/j.watres.2020.115627,2020
WOS:000521546800001,10.1186/s12302-020-00313-w,2020
WOS:000497673400011,10.1061/(ASCE)EE.1943-7870.0001626,2020
WOS:000543753800002,10.1127/fal/2020/1296,2020
WOS:000534606400008,10.1016/j.watres.2020.115797,2020
WOS:000555915200089,10.3390/w12051310,2020
WOS:000511892000006,10.1007/s13762-019-02421-4,2020
WOS:000540471800012,10.1038/s41598-020-64774-y,2020
WOS:000529312000021,10.1016/j.spc.2019.08.008,2020
WOS:000564308700011,10.1016/j.foodqual.2020.104024,2020
WOS:000551668200035,10.1016/j.chemosphere.2020.127174,2020
WOS:000529850800001,10.1007/s10311-020-01013-w,2020
WOS:000584569700002,10.1007/s40201-020-00568-8,2020
WOS:000525736600008,10.1016/j.scitotenv.2020.137508,2020
WOS:000589970700004,10.1016/j.watres.2020.116471,2020
WOS:000581364700001,10.3390/brainsci10090576,2020
WOS:000535471400015,10.1016/j.scitotenv.2020.137786,2020
WOS:000525317700048,10.1016/j.eti.2019.100557,2020
WOS:000514544700011,10.1016/j.scitotenv.2019.135061,2020
WOS:000592898700001,10.1590/0001-3765202020190453,2020
WOS:000589969600020,10.1016/j.watres.2020.116007,2020
WOS:000596432300004,10.1016/j.neuro.2020.09.038,2020
WOS:000512056300001,10.1007/s10661-020-8090-z,2020
WOS:000569155400003,10.1016/j.watres.2020.115992,2020
WOS:000536933200004,10.1016/j.apcatb.2020.118935,2020
WOS:000543956000078,10.1038/s41598-020-66399-7,2020
WOS:000514630000059,10.3390/toxins12010040,2020
WOS:000565403900001,10.1111/1750-3841.15408,2020
WOS:000617137800032,10.2166/ws.2020.110,2020
WOS:000503381200224,10.1016/j.cej.2019.122659,2020
WOS:000617139900020,10.2166/ws.2020.167,2020
WOS:000517663600018,10.1016/j.watres.2019.115432,2020
WOS:000541434400012,10.1016/j.watres.2020.115902,2020
WOS:000605130200011,10.1007/s10230-020-00737-z,2021
